brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,X,Y
27529,0495m665,13705,PSF,49.50718856436761,-66.55586915237784,0.10001211,0.56099224,2.579913,4.337417,6.0906005,1.3885994,1.1871195,1.0603311,1.1597103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.127607,21.470987,20.906921,20.53835,20.355968,20.753454,17.303022,12.381982,1.65662,0.56406593,0.93263817,0.36857224,1242.718865442439,123.71801369487093
27529,0495m665,12790,PSF,49.49264402642165,-66.55296534885447,0.1004917,9.991358,8.612095,4.342499,5.3092866,1.3885994,1.1871195,1.0603311,1.1784213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000938,20.162228,20.905651,20.68741,19.520632,19.54416,17.888166,13.993111,-0.16128922,-0.74342346,-0.5251827,0.21824074,1322.2442336691656,163.59772544553027
27529,0495m665,7436,PSF,49.40597578054195,-66.51094991110031,0.1062805,1.4985739,2.917636,4.348325,5.369888,1.3948946,1.2694558,1.2047577,1.2732652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.060804,21.337421,20.904196,20.675087,20.85521,20.184725,18.396105,,0.72338295,0.43322563,0.66233444,0.22910881,1797.1019163733818,740.4059361563175
27529,0495m665,9781,PSF,49.44676272259296,-66.52649524234624,0.10454601,4.5250216,4.4056134,4.349683,4.6978188,1.4389127,1.3024509,1.1850618,1.276666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.860949,20.889984,20.903856,20.82026,,,,13.29575,-0.029035568,-0.013872147,0.06972504,0.08359718,1573.4936451691417,527.1249378856222
27529,0495m665,15925,PSF,49.54673271960632,-66.48746538825196,0.10979445,3.79341,4.348786,4.3558908,4.4107676,1.445672,1.3491709,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.052425,20.90408,20.902308,20.888714,19.354279,20.019169,17.810947,,0.14834595,0.0017719269,0.015365601,0.013593674,1026.0735126951608,1063.5777297754773
27529,0495m665,15065,PSF,49.53151309416338,-66.49369929741577,0.10944362,6.730004,5.50222,4.3669643,3.832843,1.445672,1.3491709,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.429962,20.648655,20.899551,21.041197,21.01106,21.502626,18.328278,,-0.21869278,-0.25089645,-0.3925419,-0.14164543,1109.5255914234112,977.9524297171123
27529,0495m665,22028,PSF,49.65677851562011,-66.48377177248258,0.10987222,1.128282,2.1867158,4.3752117,6.0807514,1.4253722,1.3198797,1.1438924,1.2429237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.368956,21.650518,20.897503,20.540108,,20.916502,,12.318913,0.7184372,0.7530155,1.1104107,0.35739517,422.715487983249,1113.4973912595933
27529,0495m665,15123,PSF,49.53252431112866,-66.50811597257609,0.1083588,1.0722723,2.786784,4.3778286,6.0610538,1.4095949,1.274322,1.1964581,1.2709345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.424238,21.387241,20.896852,20.54363,19.111563,19.219435,15.969159,,1.0369968,0.49038887,0.84361076,0.3532219,1104.0375380666933,779.8592546229486
27529,0495m665,9410,PSF,49.44111250978428,-66.52045087462488,0.10534447,5.7136097,5.0951314,4.3932023,4.103869,1.4389127,1.3185244,1.1850618,1.276666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.607723,20.732111,20.893047,20.967016,,,,13.497368,-0.12438774,-0.16093636,-0.23490524,-0.07396889,1604.5171544238424,610.1418283655088
27529,0495m665,16834,PSF,49.56364955771706,-66.48839243286312,0.10963336,-0.7501636,1.9295204,4.41189,5.702972,1.445672,1.3491709,1.1748722,1.2401316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,21.786377,20.88844,20.609747,15.276409,15.638464,14.295774,,,0.8979378,1.17663,0.27869225,933.3494265883292,1050.7808907386118
27529,0495m665,12821,PSF,49.49305293338116,-66.49987874285513,0.10932709,1.2713025,2.5559282,4.413271,5.9717917,1.387216,1.243095,1.1622853,1.2818524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.239378,21.481129,20.888098,20.559738,19.97884,20.168432,,,0.7582493,0.5930309,0.92139053,0.3283596,1320.2713235532588,893.0329822009046
27529,0495m665,22684,PSF,49.66827298563921,-66.48942500850089,0.10945997,5.9429154,5.6912894,4.420168,3.6800284,1.445672,1.3491709,1.1748722,1.2439173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.565,20.611973,20.886402,21.085373,20.347984,19.815815,16.62728,14.978362,-0.046972275,-0.27442932,-0.47340012,-0.1989708,359.8863033025764,1035.6712972109442
27529,0495m665,7437,PSF,49.4059808955868,-66.51181751328265,0.10613604,0.99053097,2.8988757,4.421911,5.601362,1.3948946,1.2694558,1.2047577,1.2732652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.51033,21.344425,20.885975,20.629267,20.62165,,,14.048594,1.165905,0.45845032,0.71515846,0.25670815,1797.0529955275715,728.4847483726345
27529,0495m665,8242,PSF,49.42160857648019,-66.52400450425523,0.1042796,1.42873,2.59453,4.4234376,5.9848456,1.4389127,1.3185244,1.1850618,1.2737088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.112625,21.464853,20.885601,20.557367,20.225521,,17.495464,,0.64777184,0.57925224,0.90748596,0.32823372,1711.2178976023383,561.169455366402
27529,0495m665,8602,PSF,49.4275256232738,-66.52403484888555,0.10443592,1.82884,2.8219807,4.4238253,6.5664864,1.4389127,1.3185244,1.1850618,1.2737088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.84456,21.373615,20.885506,20.456667,20.658594,,,12.881178,0.47094536,0.4881096,0.9169483,0.42883873,1678.829100124497,560.7996834089804
